Location,Year,FuelType,Transmission,Owner,Efficiency,Engine_cc,Seats,Km,Price
Kolkata,2013,Diesel,Automatic,First,19.3,1968,5,"515,000","$10,529 "
Chennai,2013,Diesel,Manual,First,20.5,1598,5,"475,000","$8,283 "
Chennai,2009,Gasoline,Manual,First,20.4,1197,5,"495,000","$3,791 "
Kolkata,2015,Gasoline,Manual,First,17.4,1497,5,"480,000","$7,020 "
Chennai,2015,Diesel,Automatic,First,17,1968,5,"480,000","$18,251 "
Bangalore,2013,Gasoline,Manual,First,18.5,1197,5,"445,000","$6,247 "
Jaipur,2008,Diesel,Manual,First,17,1405,5,"300,000","$1,404 "
Hyderabad,2005,Diesel,Manual,First,12.8,2494,8,"299,322","$5,616 "
Pune,2012,Gasoline,Manual,First,13.1,1798,5,"282,000","$4,633 "
Mumbai,2007,Diesel,Manual,Fourth,12.8,2494,7,"262,000","$5,616 "
Pune,2013,Diesel,Manual,Third,13,2494,7,"255,000","$9,125 "
Chennai,2014,Diesel,Manual,First,13,2494,8,"250,000","$15,303 "
Jaipur,2013,Diesel,Manual,Second,13,2494,8,"250,000","$11,091 "
Hyderabad,2010,Diesel,Manual,Second,12.8,2494,7,"250,000","$9,125 "
Chennai,2011,Diesel,Manual,Second,12.8,2494,7,"248,000","$12,916 "
Chennai,2010,Diesel,Manual,First,11.5,2982,7,"242,000","$15,443 "
Chennai,2005,Diesel,Manual,Fourth,12.8,2494,8,"240,000","$7,160 "
Chennai,2013,Diesel,Manual,Second,14,2489,8,"234,000","$4,914 "
Jaipur,2009,Diesel,Manual,First,11.5,1991,7,"232,000","$4,914 "
Delhi,2009,Gasoline,Manual,First,17,1497,5,"231,673","$3,650 "
Chennai,2006,Gasoline,Manual,Third,12.4,1998,8,"230,000","$6,318 "
Pune,2007,Gasoline,Automatic,Second,11.7,1796,5,"220,000","$8,423 "
Chennai,2006,Diesel,Manual,Second,17.8,1399,5,"216,000","$2,036 "
Chennai,2016,Diesel,Manual,First,14,2179,7,"215,000","$10,529 "
Hyderabad,2012,Diesel,Manual,First,13,2494,7,"210,000","$12,635 "
Jaipur,2008,Diesel,Manual,Second,13.1,2499,7,"205,000","$5,475 "
Hyderabad,2012,Diesel,Automatic,First,17.7,1968,5,"202,082","$17,268 "
Chennai,2011,Diesel,Manual,First,12.8,2494,7,"200,000","$12,635 "
Hyderabad,2004,Diesel,Manual,Second,17.9,1396,5,"200,000","$1,193 "
Jaipur,2007,Diesel,Manual,Second,17.2,1396,5,"200,000","$1,193 "
Chennai,2006,Diesel,Manual,Second,16.8,1493,5,"200,000","$2,597 "
Hyderabad,2007,Diesel,Manual,Second,12.8,2494,7,"199,000","$7,300 "
Pune,2014,Diesel,Manual,First,23.4,1248,5,"197,000","$7,020 "
Bangalore,2013,Diesel,Manual,First,11.7,2498,7,"197,000","$5,616 "
Chennai,2006,Diesel,Manual,First,12.8,2494,7,"196,000","$8,774 "
Chennai,2014,Diesel,Manual,First,13,2494,8,"194,000","$14,741 "
Hyderabad,2010,Diesel,Manual,First,11.5,2982,7,"193,254","$18,237 "
Bangalore,2006,Diesel,Manual,Third,13.6,2523,7,"193,000","$3,510 "
Chennai,2008,Diesel,Manual,First,12.8,2494,8,"192,000","$9,617 "
Chennai,2011,Diesel,Manual,First,11.5,2982,7,"190,000","$18,251 "
Pune,2015,Gasoline,Manual,Second,16.8,1496,5,"190,000","$5,405 "
Coimbatore,2004,Gasoline,Manual,Second,13,1493,5,"186,679","$2,471 "
Hyderabad,2009,Diesel,Manual,First,12.8,2494,8,"185,200","$10,178 "
Pune,2014,Diesel,Manual,First,22.3,1248,5,"180,000","$3,510 "
Hyderabad,2012,Diesel,Manual,First,20.5,1598,5,"180,000","$5,124 "
Pune,2009,Diesel,Manual,First,10.9,2499,7,"180,000","$10,529 "
Chennai,2007,Diesel,Manual,First,11.6,3200,7,"179,032","$10,529 "
Chennai,2013,Diesel,Manual,First,23.6,1364,5,"179,000","$5,335 "
Hyderabad,2008,Diesel,Automatic,Second,12.8,2953,7,"179,000","$5,953 "
Pune,2008,Diesel,Manual,First,12.8,2494,8,"178,280","$8,283 "
Chennai,2016,Diesel,Manual,First,25,1396,5,"178,000","$3,510 "
Chennai,2013,Diesel,Manual,First,23.5,1498,5,"177,000","$4,914 "
Bangalore,2008,Diesel,Manual,Second,10.5,2179,8,"176,000","$6,037 "
Chennai,2011,Diesel,Manual,First,20.5,1598,5,"173,000","$5,616 "
Ahmedabad,2011,Diesel,Automatic,First,13.5,2400,5,"173,000","$16,847 "
Pune,2010,Diesel,Manual,Second,19,1248,5,"172,050","$3,159 "
Bangalore,2014,Diesel,Manual,First,11.5,2982,7,"171,000","$23,515 "
Pune,2007,Diesel,Manual,Second,12.8,2494,8,"170,428","$8,002 "
Mumbai,2016,Diesel,Manual,First,24.4,1120,5,"170,000","$5,616 "
Pune,2013,Diesel,Manual,First,22.5,1582,5,"170,000","$10,529 "
Jaipur,2008,Diesel,Manual,Second,16.8,1493,5,"170,000","$2,106 "
Pune,2010,Diesel,Automatic,Third,18.5,1995,5,"170,000","$16,847 "
Chennai,2008,Diesel,Automatic,Third,16.1,1995,5,"170,000","$13,688 "
Kochi,2011,Diesel,Manual,First,14.2,2755,7,"169,006","$14,938 "
Chennai,2011,Diesel,Manual,First,20,1399,5,"169,000","$3,510 "
Hyderabad,2015,Diesel,Manual,First,15,2489,7,"169,000","$7,020 "
Kolkata,2015,Diesel,Manual,First,23.4,1248,5,"168,205","$5,616 "
Pune,2012,Diesel,Manual,First,20.8,1248,7,"168,000","$6,318 "
Pune,2013,Diesel,Manual,First,11.7,2498,7,"167,362","$5,616 "
Chennai,2009,Diesel,Manual,Second,19.1,1396,5,"167,000","$3,791 "
Hyderabad,2013,Diesel,Manual,First,19.3,1461,7,"166,194","$5,475 "
Hyderabad,2011,Diesel,Manual,First,13,2494,8,"166,000","$11,582 "
Jaipur,2006,Gasoline,Manual,First,16.1,796,4,"165,000","$1,264 "
Pune,2014,Diesel,Manual,First,19,1461,5,"163,000","$7,020 "
Hyderabad,2012,Diesel,Manual,First,13,2494,7,"162,663","$14,741 "
Hyderabad,2007,Diesel,Manual,Second,12.8,2494,8,"162,000","$6,739 "
Kochi,2006,Diesel,Manual,First,13.1,1493,5,"160,538","$2,527 "
Hyderabad,2009,Diesel,Manual,First,17.8,1399,5,"160,000","$3,931 "
Pune,2006,Diesel,Manual,First,17,1405,5,"160,000","$1,404 "
Pune,2014,Diesel,Manual,First,13,2494,8,"160,000","$16,847 "
Chennai,2008,Diesel,Manual,First,10.5,2835,6,"160,000","$12,284 "
Kolkata,2013,Diesel,Manual,Second,23.4,1248,5,"160,000","$3,510 "
Jaipur,2012,Diesel,Manual,Second,22.9,1248,5,"160,000","$5,475 "
Chennai,2010,Diesel,Manual,Second,19,1248,5,"160,000","$3,510 "
Chennai,2009,Diesel,Manual,Second,18.1,1493,5,"160,000","$4,914 "
