ZipCode,City,County
15235,PITTSBURGH,ALLEGHENY
15001,ALIQUIPPA,BEAVER
15003,AMBRIDGE,BEAVER
15004,ATLASBURG,WASHINGTON
15005,BADEN,BEAVER
15006,BAIRDFORD,ALLEGHENY
15010,BEAVER FALLS,BEAVER
15014,BRACKENRIDGE,ALLEGHENY
15015,BRADFORDWOODS,ALLEGHENY
15017,BRIDGEVILLE,ALLEGHENY
15018,BUENA VISTA,ALLEGHENY
15019,BULGER,WASHINGTON
15022,CHARLEROI,WASHINGTON
15024,CHESWICK,ALLEGHENY
15027,CONWAY,BEAVER
15028,COULTERS,ALLEGHENY
15030,CREIGHTON,ALLEGHENY
15031,CUDDY,ALLEGHENY
15032,CURTISVILLE,ALLEGHENY
15037,ELIZABETH,ALLEGHENY
15038,ELRAMA,WASHINGTON
15042,FREEDOM,BEAVER
15043,GEORGETOWN,BEAVER
15007,BAKERSTOWN,ALLEGHENY
15009,BEAVER,BEAVER
15012,BELLE VERNON,FAYETTE
15020,BUNOLA,ALLEGHENY
15021,BURGETTSTOWN,WASHINGTON
15025,CLAIRTON,ALLEGHENY
15026,CLINTON,BEAVER
15033,DONORA,WASHINGTON
15034,DRAVOSBURG,ALLEGHENY
15035,EAST MC KEESPORT,ALLEGHENY
15044,GIBSONIA,ALLEGHENY
15045,GLASSPORT,ALLEGHENY
15046,CRESCENT,ALLEGHENY
15047,GREENOCK,ALLEGHENY
15054,LANGELOTH,WASHINGTON
15055,LAWRENCE,WASHINGTON
15056,LEETSDALE,ALLEGHENY
15057,MC DONALD,WASHINGTON
15059,MIDLAND,BEAVER
15060,MIDWAY,WASHINGTON
15061,MONACA,BEAVER
15062,MONESSEN,WESTMORELAND
15063,MONONGAHELA,WASHINGTON
15049,HARWICK,ALLEGHENY
15050,HOOKSTOWN,BEAVER
15051,INDIANOLA,ALLEGHENY
15052,INDUSTRY,BEAVER
15053,JOFFRE,WASHINGTON
15064,MORGAN,ALLEGHENY
15065,NATRONA HEIGHTS,ALLEGHENY
15066,NEW BRIGHTON,BEAVER
15067,NEW EAGLE,WASHINGTON
15069,NEW KENSINGTON,WESTMORELAND
15076,RUSSELLTON,ALLEGHENY
15077,SHIPPINGPORT,BEAVER
15078,SLOVAN,WASHINGTON
15081,SOUTH HEIGHTS,BEAVER
15082,STURGEON,ALLEGHENY
15088,WEST ELIZABETH,ALLEGHENY
15089,WEST NEWTON,WESTMORELAND
15090,WEXFORD,ALLEGHENY
15091,WILDWOOD,ALLEGHENY
15102,BETHEL PARK,ALLEGHENY
15104,BRADDOCK,ALLEGHENY
15106,CARNEGIE,ALLEGHENY
15110,DUQUESNE,ALLEGHENY
15120,HOMESTEAD,ALLEGHENY
15122,WEST MIFFLIN,ALLEGHENY
15068,NEW KENSINGTON,WESTMORELAND
15071,OAKDALE,ALLEGHENY
15072,PRICEDALE,WESTMORELAND
15074,ROCHESTER,BEAVER
15075,RURAL RIDGE,ALLEGHENY
15083,SUTERSVILLE,WESTMORELAND
15084,TARENTUM,ALLEGHENY
