ZipCode,City,County
73071,NORMAN,CLEVELAND
73072,NORMAN,CLEVELAND
73085,YUKON,CANADIAN
73086,SULPHUR,MURRAY
73089,TUTTLE,GRADY
73090,UNION CITY,CANADIAN
73092,VERDEN,GRADY
73098,WYNNEWOOD,GARVIN
73099,YUKON,CANADIAN
73101,OKLAHOMA CITY,OKLAHOMA
73102,OKLAHOMA CITY,OKLAHOMA
73105,OKLAHOMA CITY,OKLAHOMA
73106,OKLAHOMA CITY,OKLAHOMA
73107,OKLAHOMA CITY,OKLAHOMA
73093,WASHINGTON,MCCLAIN
73095,WAYNE,MCCLAIN
73096,WEATHERFORD,CUSTER
73097,WHEATLAND,OKLAHOMA
73103,OKLAHOMA CITY,OKLAHOMA
73104,OKLAHOMA CITY,OKLAHOMA
73108,OKLAHOMA CITY,OKLAHOMA
73109,OKLAHOMA CITY,OKLAHOMA
73112,OKLAHOMA CITY,OKLAHOMA
73113,OKLAHOMA CITY,OKLAHOMA
73116,OKLAHOMA CITY,OKLAHOMA
73117,OKLAHOMA CITY,OKLAHOMA
73118,OKLAHOMA CITY,OKLAHOMA
73119,OKLAHOMA CITY,OKLAHOMA
73121,OKLAHOMA CITY,OKLAHOMA
73122,OKLAHOMA CITY,OKLAHOMA
73001,ALBERT,CADDO
73002,ALEX,GRADY
73003,EDMOND,OKLAHOMA
73004,AMBER,GRADY
73005,ANADARKO,CADDO
73009,BINGER,CADDO
73010,BLANCHARD,MCCLAIN
73011,BRADLEY,GRADY
73012,EDMOND,OKLAHOMA
73006,APACHE,CADDO
73007,ARCADIA,OKLAHOMA
73008,BETHANY,OKLAHOMA
73013,EDMOND,OKLAHOMA
73014,CALUMET,CANADIAN
73015,CARNEGIE,CADDO
73016,CASHION,KINGFISHER
73017,CEMENT,CADDO
73021,COLONY,WASHITA
73022,CONCHO,CANADIAN
73023,CHICKASHA,GRADY
73024,CORN,WASHITA
73025,EDMOND,OKLAHOMA
73018,CHICKASHA,GRADY
73019,NORMAN,CLEVELAND
73020,CHOCTAW,OKLAHOMA
73026,NORMAN,CLEVELAND
73027,COYLE,LOGAN
73028,CRESCENT,LOGAN
73029,CYRIL,CADDO
73036,EL RENO,CANADIAN
73038,FORT COBB,CADDO
73039,DAVIS,MURRAY
73040,GEARY,BLAINE
73041,GOTEBO,KIOWA
73042,GRACEMONT,CADDO
73048,HYDRO,CADDO
73049,JONES,OKLAHOMA
73050,LANGSTON,LOGAN
73051,LEXINGTON,CLEVELAND
73055,MARLOW,STEPHENS
73056,MARSHALL,LOGAN
73057,MAYSVILLE,GARVIN
73064,MUSTANG,CANADIAN
73065,NEWCASTLE,MCCLAIN
73066,NICOMA PARK,OKLAHOMA
73067,NINNEKAH,GRADY
73068,NOBLE,CLEVELAND
73073,ORLANDO,LOGAN
73074,PAOLI,GARVIN
73075,PAULS VALLEY,GARVIN
73077,PERRY,NOBLE
73078,PIEDMONT,CANADIAN
73079,POCASSET,GRADY
73080,PURCELL,MCCLAIN
73082,RUSH SPRINGS,GRADY
73083,EDMOND,OKLAHOMA
73084,SPENCER,OKLAHOMA
73030,DAVIS,MURRAY
73031,DIBBLE,MCCLAIN
73032,DOUGHERTY,MURRAY
73033,EAKLY,CADDO
73034,EDMOND,OKLAHOMA
73043,GREENFIELD,BLAINE
73044,GUTHRIE,LOGAN
73045,HARRAH,OKLAHOMA
73047,HINTON,CADDO
73052,LINDSAY,GARVIN
73053,LOOKEBA,CADDO
73054,LUTHER,OKLAHOMA
73058,MERIDIAN,LOGAN
73059,MINCO,GRADY
73061,MORRISON,NOBLE
73062,MOUNTAIN VIEW,KIOWA
73063,MULHALL,LOGAN
73069,NORMAN,CLEVELAND
73070,NORMAN,CLEVELAND
73124,OKLAHOMA CITY,OKLAHOMA
73125,OKLAHOMA CITY,OKLAHOMA
