ims_org_id,bed_id,license_beds,census_beds,staffed_beds
INS00002280,5,302,268,302
INS00002280,18,338,300,338
INS00002280,4,36,32,36
INS00005051,4,23,4,15
INS00005051,18,134,22,90
INS00005051,5,111,18,75
INS00040707,8,183,170,183
INS00040707,18,183,170,183
INS00109837,18,150,131,150
INS00108529,5,56,38,56
INS00109837,8,150,131,150
INS00108529,18,56,38,56
INS00004081,18,25,14,25
INS00004081,5,25,14,25
INS00113922,18,55,50,55
INS00109698,8,121,102,121
INS00113922,8,55,50,55
INS00109698,18,121,102,121
INS00038263,18,176,160,176
INS00035800,18,63,63,63
INS00038263,8,176,160,176
INS00035800,8,63,63,63
INS00112572,8,70,70,70
INS00112572,18,70,70,70
INS00034450,8,114,99,114
INS00034450,18,114,99,114
INS00113602,18,28,28,28
INS00113602,8,28,28,28
INS00039414,8,168,140,150
INS00039414,18,168,140,150
INS00036553,8,60,38,60
INS00036553,18,60,38,60
INS00039583,18,10,10,10
INS00039583,8,10,10,10
INS00109819,8,98,95,98
INS00109819,18,98,95,98
INS00037480,18,60,55,60
INS00037480,8,60,55,60
INS00034770,8,80,78,80
INS00034770,18,80,78,80
INS00039031,8,84,62,84
INS00039031,18,84,62,84
INS00002691,4,9,5,9
INS00072128,8,184,136,184
INS00002691,18,146,87,146
INS00002691,5,137,82,137
INS00072128,18,184,136,184
INS00000890,18,145,90,115
INS00000890,5,130,81,103
INS00000890,4,15,9,12
INS00040336,18,120,95,120
INS00006015,5,360,254,360
INS00006015,6,25,18,25
INS00040336,8,120,95,120
INS00006015,4,65,46,65
INS00006015,18,481,340,481
INS00006015,16,31,22,31
INS00040197,8,180,178,180
INS00040197,18,180,178,180
INS00109287,8,120,115,120
INS00109287,18,120,115,120
INS00039734,8,168,146,168
INS00039734,18,168,146,168
INS00074448,18,81,75,81
INS00074448,8,81,75,81
INS00074397,8,98,90,98
INS00074397,18,98,90,98
INS00114985,18,120,85,120
INS00036160,18,53,40,53
INS00036160,8,53,40,53
INS00114985,8,120,85,120
INS00005742,5,55,31,55
INS00005742,4,20,11,20
INS00005742,18,75,42,75
INS00075219,18,180,166,180
INS00075219,8,180,166,180
INS00109106,18,162,120,162
INS00109106,8,162,120,162
INS00109517,8,113,113,113
INS00109517,18,113,113,113
INS00040016,8,86,80,86
INS00040016,18,86,80,86
INS00080102,18,96,93,96
INS00080102,8,96,93,96
INS00005371,5,45,15,45
INS00005371,18,45,15,45
INS00004821,18,63,50,63
INS00004821,16,49,39,49
INS00004821,5,14,11,14
INS00528031,18,128,105,112
INS00528031,8,128,105,112
INS00111381,18,22,22,22
INS00039954,18,78,76,78
INS00039954,8,78,76,78
INS00111381,8,22,22,22
INS00002510,12,300,300,300
INS00002510,18,300,300,300
INS00610020,18,56,20,56
INS00610020,12,56,20,56
INS00039333,18,103,93,103
INS00039333,8,103,93,103
INS00110451,18,19,13,19
INS00110451,8,19,13,19
INS00005754,4,2,1,2
INS00005754,5,19,8,19
INS00005754,18,53,22,53
INS00005754,16,32,13,32
INS00407601,5,34,21,34
INS00407601,18,34,21,34
INS00038701,18,72,60,72
INS00038701,8,72,60,72
INS00036900,18,46,42,46
INS00036900,8,46,42,46
INS00064728,8,232,137,232
INS00064728,18,232,137,232
INS00075125,18,136,128,136
INS00034151,18,46,44,46
INS00075125,8,136,128,136
INS00034151,8,46,44,46
INS00004501,5,35,9,35
INS00004501,18,35,9,35
INS00109079,8,68,50,68
INS00109079,18,68,50,68
INS00006567,4,29,25,29
INS00006567,5,126,108,126
INS00006567,6,27,23,27
INS00006567,2,5,4,5
INS00006567,18,187,160,187
INS00035380,18,55,54,55
INS00035380,8,55,54,55
INS00004933,4,19,4,19
INS00004933,5,49,10,49
INS00004933,18,68,14,68
INS00040269,8,104,95,104
INS00040269,18,104,95,104
INS00038882,18,118,92,118
INS00038882,8,118,92,118
INS00001180,5,64,45,64
INS00001180,4,6,4,6
INS00001180,15,3,2,3
INS00001180,18,76,53,76
INS00001180,2,3,2,3
INS00110152,8,58,54,58
INS00110152,18,58,54,58
INS00036024,8,60,55,60
INS00006483,6,76,52,76
INS00036024,18,60,55,60
INS00006483,5,151,103,151
INS00006483,18,264,180,264
INS00006483,10,37,25,37
INS00004905,4,6,2,6
INS00004905,18,48,20,48
