ims_org_id,business_name,ttl_license_beds,ttl_census_beds,ttl_staffed_beds,bed_cluster_id
INS00000777,Hegg Memorial Hospital,25,15,25,1
INS00000778,"Community Memorial Hospital, Inc",16,8,16,1
INS00000779,Pipestone County Medical Center Avera Health,45,10,25,1
INS00000780,Tyler Healthcare Center Avera,20,3,20,1
INS00000781,Eureka Community Health Services Avera,6,2,6,1
INS00000782,Avera Hand County Memorial Hospital,20,3,20,1
INS00000519,Abington Memorial Hospital,671,466,671,5
INS00000520,"Lower Oconee Community Hospital, Inc",25,14,25,1
INS00000521,"Stewart Webster Hospital, Inc",25,16,25,1
INS00000522,Glens Falls Hospital,410,300,315,3
INS00000523,Washington Adventist Hospital,288,237,288,3
INS00000524,Shady Grove Adventist Hospital,336,300,336,3
INS00000525,Hackettstown Regional Medical Center,111,60,111,1
INS00000526,Castle Medical Center,160,105,160,2
INS00000527,Feather River Hospital,101,70,80,1
INS00000529,"Willits Hospital, Inc",25,16,25,1
INS00000530,Paradise Valley Hospital,301,142,205,2
INS00000531,Portland Adventist Medical Center,312,130,173,2
INS00000532,Saint Helena Hospital,151,85,151,1
INS00000533,San Joaquin Community Hospital,259,200,259,2
INS00000534,Sonora Regional Medical Center,152,49,152,1
INS00000535,Glendale Adventist Medical Center,457,350,457,4
INS00000536,Simi Valley Hospital and Healthcare Services,188,125,188,2
INS00000537,White Memorial Medical Center,353,275,275,3
INS00000538,Northwest Medical Foundation of Tillamook,49,14,25,1
INS00000539,Ukiah Adventist Hospital,78,45,78,1
INS00000540,Walla Walla General Hospital,72,12,37,1
INS00000541,North Hawaii Community Hospital,40,20,40,1
INS00000542,"Adventist Health Clearlake, Inc",25,21,25,1
INS00000543,Selma Community Hospital,57,26,57,1
INS00000544,Mission Hospital Laguna Beach,208,80,208,1
INS00000545,Central Valley General Hospital,49,22,49,1
INS00000546,Alhambra Hospital Medical Center,144,110,144,2
INS00000547,Central Texas Medical Center,178,65,178,1
INS00000548,"Florida Hospital Zephyrhills, Inc",139,130,139,2
INS00000549,Emory-Adventist Hospital,88,35,53,1
INS00000550,Adventist Health System,978,850,978,7
INS00000551,"Adventist Health System Sunbelt, Inc",341,300,341,3
INS00000552,Florida Hospital Medical Center,50,32,50,1
INS00000553,Florida Hospital East Orlando,225,200,225,2
INS00000554,Florida Hospital Kissimmee,73,57,73,1
INS00000555,Florida Hospital Heartland Medical Center,159,103,159,2
INS00000556,Florida Hospital Lake Placid Division,50,35,50,1
INS00000557,Florida Hospital Wauchula,25,20,25,1
INS00000558,"Florida Hospital Waterman, Inc",209,160,209,2
INS00000559,Gordon Hospital,69,40,69,1
INS00000560,"Adventist Health System Sunbelt, Inc",213,131,196,2
INS00000561,"Jellico Community Hospital, Inc",54,20,40,1
INS00000562,Memorial Hospital,63,45,63,1
INS00000563,Metroplex Adventist Hospital Inc,232,151,232,2
INS00000564,Rollins Brook Community Hospital,25,11,25,1
INS00000565,"Fletcher Hospital, Inc",103,72,98,1
INS00000566,Takoma Regional Hospital,100,70,100,1
