Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week
1,01-07-19,female,100,white,4,vanilla,yes,<50K,yes,7
2,01-07-19,female,100,blue,5,vanilla,yes,<50K,yes,5
3,01-07-19,female,100,silver,6,vanilla,yes,<50K,yes,1
4,01-07-19,female,100,silver,5,vanilla,yes,<50K,yes,4
5,01-07-19,male,100,white,1,vanilla,yes,<50K,yes,7
6,01-07-19,male,100,white,0,vanilla,yes,<50K,yes,9
7,01-07-19,female,100,blue,2,vanilla,yes,<50K,yes,5
8,01-07-19,female,100,black,5,vanilla,yes,<50K,yes,9
9,01-07-19,male,100,blue,2,vanilla,yes,<50K,yes,7
10,01-07-19,male,100,no preference,1,vanilla,yes,<50K,yes,5
11,01-07-19,male,100,blue,10,vanilla,yes,<100K,yes,10
12,01-07-19,female,100,no preference,8,vanilla,yes,<100K,yes,2
13,01-07-19,male,100,silver,9,vanilla,yes,<50K,yes,2
14,01-07-19,male,100,black,4,vanilla,yes,<50K,yes,6
15,01-07-19,male,100,no preference,5,vanilla,yes,<50K,yes,6
16,01-07-19,male,100,white,0,vanilla,yes,>100K,yes,3
17,01-07-19,male,100,black,5,vanilla,yes,<50K,yes,5
18,01-07-19,female,100,no preference,7,vanilla,yes,<50K,yes,4
19,01-07-19,male,100,no preference,8,vanilla,yes,<50K,yes,1
20,01-07-19,male,100,red,0,vanilla,yes,<50K,yes,5
21,01-07-19,male,100,red,7,vanilla,yes,<50K,yes,10
22,01-07-19,male,100,black,4,vanilla,yes,<50K,yes,2
23,01-07-19,female,100,blue,8,vanilla,yes,<50K,yes,9
24,01-07-19,female,100,blue,7,vanilla,yes,<50K,yes,6
25,01-07-19,male,100,white,6,swirl,yes,<50K,yes,3
26,01-07-19,male,100,no preference,6,vanilla,yes,<50K,yes,2
