Donate ID,Donate Date,Gender,Deposit Amount,Preferred Color of Device,Ice Cream Products Consumed Per Week,Favorite Flavor Of Ice Cream,Donated To Kick Starter Before,Household Income,Do you own a Keurig,How many desserts do you eat a week,Purchased
1,01-07-19,female,100,white,4,vanilla,yes,<50K,yes,7,0
2,01-07-19,female,100,blue,5,vanilla,yes,<50K,yes,5,1
3,01-07-19,female,100,silver,6,vanilla,yes,<50K,yes,6,1
4,01-07-19,female,100,silver,5,vanilla,yes,<50K,yes,5,1
5,01-07-19,male,100,white,1,vanilla,yes,<50K,yes,7,0
6,01-07-19,male,100,white,0,vanilla,yes,<50K,yes,9,0
7,01-07-19,female,100,blue,2,vanilla,yes,<50K,yes,5,0
8,01-07-19,female,100,black,5,vanilla,yes,<50K,yes,9,1
9,01-07-19,male,100,blue,2,vanilla,yes,<50K,yes,7,0
10,01-07-19,male,100,no preference,1,vanilla,yes,<50K,yes,5,0
11,01-07-19,male,100,blue,10,vanilla,yes,<100K,yes,10,1
12,01-07-19,female,100,no preference,8,vanilla,yes,<100K,yes,8,0
13,01-07-19,male,100,silver,9,vanilla,yes,<50K,yes,9,1
14,01-07-19,male,100,black,4,vanilla,yes,<50K,yes,6,0
15,01-07-19,male,100,no preference,5,vanilla,yes,<50K,yes,6,1
16,01-07-19,male,100,white,0,vanilla,yes,>100K,yes,3,1
17,01-07-19,male,100,black,5,vanilla,yes,<50K,yes,5,0
18,01-07-19,female,100,no preference,7,vanilla,yes,<50K,yes,7,1
19,01-07-19,male,100,no preference,8,vanilla,yes,<50K,yes,8,1
20,01-07-19,male,100,red,0,vanilla,yes,<50K,yes,5,0
21,01-07-19,male,100,red,7,vanilla,yes,<50K,yes,10,1
22,01-07-19,male,100,black,4,vanilla,yes,<50K,yes,4,0
23,01-07-19,female,100,blue,8,vanilla,yes,<50K,yes,9,1
24,01-07-19,female,100,blue,7,vanilla,yes,<50K,yes,7,0
25,01-07-19,male,100,white,6,swirl,yes,<50K,yes,6,0
26,01-07-19,male,100,no preference,6,vanilla,yes,<50K,yes,6,0
27,01-07-19,male,100,no preference,10,vanilla,yes,<50K,yes,10,1
28,01-07-19,female,100,no preference,2,no preference,yes,<50K,yes,2,0
29,01-07-19,male,100,white,5,vanilla,yes,<50K,yes,5,0
30,01-07-19,male,100,black,7,no preference,yes,<50K,yes,7,0
31,01-07-19,male,100,red,6,chocolate,yes,<50K,yes,7,1
32,01-07-19,male,100,silver,1,no preference,yes,<50K,yes,3,0
33,01-07-19,female,100,black,5,swirl,yes,<50K,yes,7,0
34,01-07-19,male,100,blue,2,vanilla,yes,<50K,yes,2,1
35,01-07-19,female,100,black,1,no preference,yes,<100K,yes,4,0
36,01-07-19,female,100,white,5,chocolate,yes,<100K,yes,5,1
37,01-07-19,female,100,black,8,no preference,yes,<50K,yes,8,1
38,01-07-19,male,100,red,6,vanilla,yes,<50K,yes,6,0
39,01-07-19,male,100,no preference,8,swirl,yes,Not Reported,yes,8,0
40,01-07-19,female,100,red,5,specialty,yes,Not Reported,yes,5,0
41,01-07-19,male,100,blue,10,vanilla,yes,Not Reported,yes,10,1
42,01-07-19,male,100,black,1,specialty,yes,Not Reported,yes,6,0
43,01-07-19,male,100,no preference,3,specialty,yes,Not Reported,yes,3,0
44,01-07-19,male,100,blue,9,vanilla,yes,Not Reported,yes,9,1
