COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE
California,2017,Total population,All ages,5 - 17 Years,191904,50.4
Alameda,2017,Total population,All ages,5 - 17 Years,9939,64.3
Alpine,2017,Total population,All ages,5 - 17 Years,0,0
Amador,2017,Total population,All ages,5 - 17 Years,196,58.4
Butte,2017,Total population,All ages,5 - 17 Years,1044,50.2
Calaveras,2017,Total population,All ages,5 - 17 Years,185,48
Colusa,2017,Total population,All ages,5 - 17 Years,97,41.4
Contra Costa,2017,Total population,All ages,5 - 17 Years,6858,65.2
Del Norte,2017,Total population,All ages,5 - 17 Years,140,53
El Dorado,2017,Total population,All ages,5 - 17 Years,592,36.4
Fresno,2017,Total population,All ages,5 - 17 Years,7936,77
Glenn,2017,Total population,All ages,5 - 17 Years,122,42.6
Humboldt,2017,Total population,All ages,5 - 17 Years,835,63.4
Imperial,2017,Total population,All ages,5 - 17 Years,1388,71.2
Inyo,2017,Total population,All ages,5 - 17 Years,88,53.5
Kern,2017,Total population,All ages,5 - 17 Years,5859,62.3
Kings,2017,Total population,All ages,5 - 17 Years,1250,78.6
Lake,2017,Total population,All ages,5 - 17 Years,478,80.4
Lassen,2017,Total population,All ages,5 - 17 Years,148,45.3
Los Angeles,2017,Total population,All ages,5 - 17 Years,52227,53.1
Madera,2017,Total population,All ages,5 - 17 Years,1031,62.3
Marin,2017,Total population,All ages,5 - 17 Years,541,22.2
Mariposa,2017,Total population,All ages,5 - 17 Years,79,47.4
Mendocino,2017,Total population,All ages,5 - 17 Years,479,57.4
Merced,2017,Total population,All ages,5 - 17 Years,2425,87.4
Modoc,2017,Total population,All ages,5 - 17 Years,53,67.9
Mono,2017,Total population,All ages,5 - 17 Years,43,32
Monterey,2017,Total population,All ages,5 - 17 Years,2194,50.2
Napa,2017,Total population,All ages,5 - 17 Years,572,41.9
Nevada,2017,Total population,All ages,5 - 17 Years,351,42.8
Orange,2017,Total population,All ages,18 - 40  Years,10275,33.9
Placer,2017,Total population,All ages,18 - 40  Years,1125,31.4
Plumas,2017,Total population,All ages,18 - 40  Years,99,56.3
Riverside,2017,Total population,All ages,18 - 40  Years,10111,43.2
Sacramento,2017,Total population,All ages,18 - 40  Years,10109,69.2
San Benito,2017,Total population,All ages,18 - 40  Years,285,50.1
San Bernardino,2017,Total population,All ages,18 - 40  Years,12761,59.3
San Diego,2017,Total population,All ages,18 - 40  Years,11646,37
San Francisco,2017,Total population,All ages,18 - 40  Years,3141,41.3
San Joaquin,2017,Total population,All ages,18 - 40  Years,4802,66.2
San Luis Obispo,2017,Total population,All ages,18 - 40  Years,950,40.1
San Mateo,2017,Total population,All ages,18 - 40  Years,2695,36.4
Santa Barbara,2017,Total population,All ages,18 - 40  Years,1734,40.7
Santa Clara,2017,Total population,All ages,18 - 40  Years,6521,35.1
Santa Cruz,2017,Total population,All ages,18 - 40  Years,910,36.5
Shasta,2017,Total population,All ages,18 - 40  Years,1015,60.5
Sierra,2017,Total population,All ages,18 - 40  Years,9,
Siskiyou,2017,Total population,All ages,18 - 40  Years,176,47
Solano,2017,Total population,All ages,18 - 40  Years,3415,83.2
Sonoma,2017,Total population,All ages,18 - 40  Years,1936,40.2
Stanislaus,2017,Total population,All ages,18 - 40  Years,3281,60.7
Sutter,2017,Total population,All ages,18 - 40  Years,337,34.1
Tehama,2017,Total population,All ages,18 - 40  Years,323,52.7
Trinity,2017,Total population,All ages,18 - 40  Years,67,60.5
Tulare,2017,Total population,All ages,18 - 40  Years,2542,51.3
Tuolumne,2017,Total population,All ages,18 - 40  Years,257,53.1
Ventura,2017,Total population,All ages,18 - 40  Years,2933,35.3
Yolo,2017,Total population,All ages,18 - 40  Years,852,44.1
Yuba,2017,Total population,All ages,18 - 40  Years,346,45.4
California,2017,Child vs. adult,0–17 years,5 - 17 Years,74050,80.6
Alameda,2017,Child vs. adult,0–17 years,5 - 17 Years,3426,96.7
Alpine,2017,Child vs. adult,0–17 years,5 - 17 Years,0,0
Amador,2017,Child vs. adult,0–17 years,5 - 17 Years,45,85.1
Butte,2017,Child vs. adult,0–17 years,5 - 17 Years,308,68.7
Calaveras,2017,Child vs. adult,0–17 years,5 - 17 Years,46,63
Colusa,2017,Child vs. adult,0–17 years,5 - 17 Years,48,77
Contra Costa,2017,Child vs. adult,0–17 years,5 - 17 Years,2330,95.2
Del Norte,2017,Child vs. adult,0–17 years,5 - 17 Years,49,85.2
El Dorado,2017,Child vs. adult,0–17 years,5 - 17 Years,170,46.8
Fresno,2017,Child vs. adult,0–17 years,5 - 17 Years,4482,156
Glenn,2017,Child vs. adult,0–17 years,5 - 17 Years,39,51.8
Humboldt,2017,Child vs. adult,0–17 years,5 - 17 Years,153,59.3
Imperial,2017,Child vs. adult,0–17 years,5 - 17 Years,737,140.1
Inyo,2017,Child vs. adult,0–17 years,5 - 17 Years,33,92
Kern,2017,Child vs. adult,0–17 years,5 - 17 Years,2566,96.8
Kings,2017,Child vs. adult,0–17 years,5 - 17 Years,615,143.4
Lake,2017,Child vs. adult,0–17 years,5 - 17 Years,115,90.6
