"State Name","county Name","State Code","County Code","Date","AQI","Category","Defining Parameter","Defining Site","Number of Sites Reporting"
"Alabama","DeKalb","01","049","2021-01-01",30,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-02",27,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-03",34,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-04",36,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-05",31,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-06",27,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-07",29,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-08",22,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-09",26,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-10",25,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-11",24,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-12",21,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-13",23,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-14",40,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-15",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-16",29,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-17",34,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-18",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-19",33,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-20",32,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-21",22,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-22",30,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-23",36,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-24",32,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-25",22,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-26",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-27",25,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-28",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-29",35,"Good","Ozone","01-049-9991",1
"Alabama","DeKalb","01","049","2021-01-30",36,"Good","Ozone","01-049-9991",1
