User ID,Day Of Week,,Show,Season,Episode,Time Watched,Gender,Completed,Time of Day,,,
117752,2/12/19,Tuesday,Stranger Things,2,6,51,Female,1,1,,,
28615,2/12/19,Tuesday,Stranger Things,2,6,2,Female,0,0,,,
72226,2/12/19,Tuesday,Stranger Things,2,3,5,Female,0,1,,,
62565,2/9/19,Saturday,Stranger Things,2,10,59,Female,1,1,,,
3494,2/12/19,Tuesday,Stranger Things,2,1,33,Female,1,0,,,
17818,2/11/19,Monday,Stranger Things,1,6,20,Male,0,0,,,
66427,2/10/19,Sunday,Stranger Things,1,10,29,Female,0,1,,,
35135,2/12/19,Tuesday,Stranger Things,2,5,27,Female,,0,,,
100055,2/10/19,Sunday,Stranger Things,1,6,48,Male,,0,,,
80609,2/11/19,Monday,Stranger Things,2,9,5,Female,,1,,,
108824,2/9/19,Saturday,Stranger Things,1,4,40,Female,,1,,,
11035,2/12/19,Tuesday,Stranger Things,2,4,39,Male,,0,,,
56541,2/10/19,Sunday,Stranger Things,1,1,5,Male,,0,,,
6867,2/11/19,Monday,Stranger Things,1,1,43,Female,,0,,,
23828,2/10/19,Sunday,Stranger Things,2,3,12,Female,,0,,,
118833,2/9/19,Saturday,Stranger Things,2,8,51,Male,,1,,,
111801,2/10/19,Sunday,Stranger Things,2,10,66,Female,,0,,,
94806,2/12/19,Tuesday,Stranger Things,2,6,5,Female,,0,,,
54418,2/12/19,Tuesday,Stranger Things,1,1,30,Female,,0,,,
31996,2/12/19,Tuesday,Stranger Things,2,6,6,Male,0,0,,,
97717,2/9/19,Saturday,Stranger Things,2,6,10,Male,0,0,,,
13665,2/12/19,Tuesday,Stranger Things,1,8,29,Male,0,0,,,
91418,2/11/19,Monday,Stranger Things,1,8,30,Male,1,1,,,
123401,2/11/19,Monday,Stranger Things,1,2,42,Female,1,0,,,
11896,2/10/19,Sunday,Stranger Things,1,2,20,Male,0,0,,,
35588,2/9/19,Saturday,Stranger Things,2,10,40,Female,1,1,,,
85408,2/12/19,Tuesday,Stranger Things,2,7,13,Female,0,1,,,
45713,2/11/19,Monday,Stranger Things,2,4,11,Female,0,0,,,
36379,2/12/19,Tuesday,Stranger Things,2,5,47,Male,1,0,,,
16969,2/11/19,Monday,Stranger Things,2,2,29,Female,0,0,,,
71278,2/11/19,Monday,Stranger Things,1,7,53,Male,1,0,,,
19951,2/12/19,Tuesday,Stranger Things,2,6,42,Female,1,0,,,
52543,2/9/19,Saturday,Stranger Things,1,2,9,Male,0,0,,,
25691,2/11/19,Monday,Stranger Things,1,8,19,Male,0,0,,,
124864,2/10/19,Sunday,Stranger Things,2,4,30,Male,1,0,,,
